"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AggregatorHost","0","88","2203375767552","5545984","1642496","5976",,,,,,,,,,"Process",,,"8",,,,,"9048",".",,,,"5976","5976","1642496","1642496","51744","51744","1732608","1732608","5918720","5918720","2203378388992","60166144",,,"1642496","1642496","AggregatorHost",,"0",,"System.Diagnostics.ProcessThreadCollection","88","2203375767552","57544704","False",,,,"5545984","5545984",,,,,,"0","","True",,
"AppHelperCap","0","323","4416159744","14774272","6533120","16016",,,,,,,,,,"Process",,,"8",,,,,"3420",".",,,,"16016","16016","6533120","6533120","167704","167704","7098368","7098368","18423808","18423808","4423544832","128577536",,,"6533120","6533120","AppHelperCap",,"0",,"System.Diagnostics.ProcessThreadCollection","323","4416159744","121192448","False",,,,"14774272","14774272",,,,,,"0","","True",,
"ApplicationFrameHost","27","441","2203595251712","33804288","21331968","25968","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0.25","10.0.22000.1 (WinBuild.160101.0800)","10.0.22000.1","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8456","8",,"False","02/04/2022 06:55:15",,"16532",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25968","25968","21331968","21331968","431408","431408","23117824","23117824","43704320","43704320","2203661500416","343277568","True","Normal","21331968","21331968","ApplicationFrameHost","4095","27",,"System.Diagnostics.ProcessThreadCollection","441","2203595251712","277028864","False",,,,"33804288","33804288",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.1718750","00:00:00.2500000","00:00:00.0781250","262958","OneNote for Windows 10","True",,
"audiodg","0","205","2203405385728","12959744","6496256","11408",,,,,"0.1875",,,,,"Process",,,"8",,,"02/04/2022 07:40:29",,"31620",".",,,,"11408","11408","6496256","6496256","97400","97400","7475200","7475200","13893632","13893632","2203407831040","89608192",,,"6496256","6496256","audiodg",,"0",,"System.Diagnostics.ProcessThreadCollection","205","2203405385728","87162880","False",,,,"12959744","12959744",,,"00:00:00.0937500","00:00:00.1875000","00:00:00.0937500","0","","True",,
"AuthManSvr","27","328","158941184","17186816","5554176","22680","C:\Program Files\WindowsApps\D50536CD.CitrixReceiver_22.2.1.0_x86__hmf6bx7z76t54\VFS\ProgramFilesX86\Citrix\ICA Client\AuthManager\AuthManSvr.exe","""C:\Program Files\WindowsApps\D50536CD.CitrixReceiver_22.2.1.0_x86__hmf6bx7z76t54\VFS\ProgramFilesX86\Citrix\ICA Client\AuthManager\AuthManSvr.exe"" -Embedding",,"Citrix Systems, Inc.","0.9375","22.2.1.2","22.2.1.2","Citrix Authentication Manager","Citrix Workspace","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7624","8",,"False","02/04/2022 06:56:13",,"24096",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22680","22680","5554176","5554176","220584","220584","5824512","5824512","18485248","18485248","164249600","164249600","True","Normal","5554176","5554176","AuthManSvr","1","27",,"System.Diagnostics.ProcessThreadCollection","328","158941184","158941184","False",,,,"17186816","17186816",,"System.Diagnostics.ProcessModule (AuthManSvr.exe)","00:00:00.5625000","00:00:00.9375000","00:00:00.3750000","0","","True",,
"backgroundTaskHost","27","300","2203615944704","2961408","14233600","17320","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:Global.IrisService.AppXwt29n3t7x7q6fgyrrbbqxwzkqjfjaw4y.mca",,"Microsoft Corporation","0.15625","10.0.22000.1 (WinBuild.160101.0800)","10.0.22000.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9756","8",,"False","02/04/2022 07:22:21",,"30696",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17320","17320","14233600","14233600","505096","505096","19091456","19091456","34181120","34181120","2203700690944","382468096","True","Normal","14233600","14233600","backgroundTaskHost","4095","27",,"System.Diagnostics.ProcessThreadCollection","300","2203615944704","297721856","False",,,,"2961408","2961408",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0781250","00:00:00.1562500","00:00:00.0781250","0","","True",,
"BridgeCommunication","27","430","4468752384","28512256","6631424","23288","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_a827166e24a9cb5b\x64\BridgeCommunication.exe","""C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_a827166e24a9cb5b\x64\BridgeCommunication.exe"" fc784b06-6939-4a7e-b72e-8c4bf1c32bf8 Global\9e720bd2-3788-4f68-8845-67c69a5a574b 2656",,"HP Inc.","1.0625","1.40.2695.0","1.40.2695.0","","BridgeCommunication","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5844","8",,"False","02/04/2022 06:53:30",,"13448",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23288","23288","6631424","6631424","270536","270536","7020544","7020544","30842880","30842880","4477382656","182415360","True","Normal","6631424","6631424","BridgeCommunication","4095","27",,"System.Diagnostics.ProcessThreadCollection","430","4468752384","173785088","False",,,,"28512256","28512256",,"System.Diagnostics.ProcessModule (BridgeCommunication.exe)","00:00:00.4375000","00:00:01.0625000","00:00:00.6250000","0","","True",,
"chrome","27","297","2264031830016","82522112","38039552","16784","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --launch-time-ticks=855778118937 --mojo-platform-channel-handle=5116 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.859375","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5924","8",,"False","02/04/2022 06:53:11",,"1952",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16784","16784","38039552","38039552","539160","539160","49864704","49864704","92012544","92012544","2264135045120","687280128","True","Normal","38039552","38039552","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","297","2264031830016","584065024","False",,,,"82522112","82522112",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1875000","00:00:00.8593750","00:00:00.6718750","0","","True",,
"chrome","27","222","2264006475776","29192192","12931072","14744","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=21 --launch-time-ticks=858751154419 --mojo-platform-channel-handle=5904 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.046875","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5996","4",,"False","02/04/2022 07:42:44",,"2744",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","14744","14744","12931072","12931072","518536","518536","14708736","14708736","29499392","29499392","2264087986176","640221184","True","Idle","12931072","12931072","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","222","2264006475776","558710784","False",,,,"29192192","29192192",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0312500","00:00:00.0468750","00:00:00.0156250","0","","True",,
"chrome","27","166","2237840982016","7831552","2125824","9920","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\nasa_unicodata\AppData\Local\Google\Chrome\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\nasa_unicodata\AppData\Local\Google\Chrome\User Data\Crashpad"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=100.0.4896.60 --initial-client-data=0xfc,0x100,0x104,0xd8,0x108,0x7ffa749ac410,0x7ffa749ac420,0x7ffa749ac430","System.Diagnostics.Process (chrome)","Google LLC","0.046875","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5224","8",,"False","02/04/2022 06:53:08",,"8596",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","9920","9920","2125824","2125824","120888","120888","2146304","2146304","8343552","8343552","2237857759232","179798016","True","Normal","2125824","2125824","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","166","2237840982016","163020800","False",,,,"7831552","7831552",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0468750","00:00:00.0468750","00:00:00","0","","True",,
